Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,eimeria_identification,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,replicate,Sample_ID,dna_quantification,eimeria_qpcr
SRR9279859,AMPLICON,501,7017,PRJNA548431,SAMN12027055,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",86203,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049828,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.2225 N 13.6025 E,AA-0249_S230,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:00:00Z,1,AA_0249,SRP201188,,,30,
SRR9279860,AMPLICON,500,32048,PRJNA548431,SAMN12027092,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",103947,HUMBOLDT UNIVERSITY BERLIN,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non template control 1,missing,missing,Non template control,SRX6049827,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,H20-1_S229,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:00:00Z,1,H2O_1,SRP201188,,,,
SRR9279861,AMPLICON,501,2324267,PRJNA548431,SAMN12027078,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",1720668,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049826,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,51.676761 N 13.679507 E,AA-0523-CE_S226,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0523_CE,SRP201188,,,,-6.8
SRR9279862,AMPLICON,500,606492,PRJNA548431,SAMN12027085,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",507202,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049825,Germany,Europe,Germany:Brandenburg,Apodemus flavicollis,Illumina MiSeq,52.838835 N 13.731648 E,ZZ-0021_S225,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,ZZ_0021,SRP201188,,,,
SRR9279863,AMPLICON,501,374883,PRJNA548431,SAMN12027090,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",344498,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Colon,Content,SRX6049824,Germany,Europe,Germany:Brandenburg,Apodemus flavicollis,Illumina MiSeq,53.042812 N 13.17139 E,ZZ-0042_S228,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:00:00Z,1,ZZ_0042,SRP201188,,,,
SRR9279864,AMPLICON,500,30532,PRJNA548431,SAMN12027087,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",102286,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Colon,Content,SRX6049823,Germany,Europe,Germany:Brandenburg,Apodemus flavicollis,Illumina MiSeq,53.00509 N 13.56022 E,ZZ-0026_S227,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:00:00Z,1,ZZ_0026,SRP201188,,,,
SRR9279865,AMPLICON,500,126236,PRJNA548431,SAMN12027093,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",169474,HUMBOLDT UNIVERSITY BERLIN,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non template control 2,missing,missing,Non template control,SRX6049822,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,H20-2_S222,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:00:00Z,1,H2O_2,SRP201188,,,,
SRR9279866,AMPLICON,501,17266903,PRJNA548431,SAMN12027049,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",12587526,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Cecum,Tissue,SRX6049821,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,51.8625 N 13.4639 E,AA-0100-CE_S221,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0100_CE,SRP201188,,,97.7,1.96
SRR9279867,AMPLICON,501,18373058,PRJNA548431,SAMN12027046,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",13348489,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Ileum,Tissue,SRX6049820,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.2678 N 13.84 E,AA-0080-IL_S224,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0080_IL,SRP201188,,,200,4.75
SRR9279868,AMPLICON,501,18811184,PRJNA548431,SAMN12027068,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",13748993,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049819,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.1275 N 13.4864 E,AA-0366_S223,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0366,SRP201188,,,214,
SRR9279869,AMPLICON,501,150836,PRJNA548431,SAMN12027064,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",188562,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049818,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.0497 N 13.4408 E,AA-0345-CE_S249,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0345_CE,SRP201188,,,,-7.83
SRR9279870,AMPLICON,501,3699894,PRJNA548431,SAMN12027073,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",2743400,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049817,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.0753 N 14.2272 E,AA-0445-CE_S248,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0445_CE,SRP201188,,,,-3.17
SRR9279871,AMPLICON,501,18050440,PRJNA548431,SAMN12027051,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",13010668,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049816,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.9581 N 13.895 E,AA-0112-CE_S247,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0112_CE,SRP201188,,,236,-0.07
SRR9279872,AMPLICON,501,7640231,PRJNA548431,SAMN12027059,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",5508516,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Colon,Content,SRX6049815,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.1119 N 13.4622 E,AA-0321_S246,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0321,SRP201188,,,153,
SRR9279873,AMPLICON,501,8889347,PRJNA548431,SAMN12027091,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",6258593,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Ileum,Tissue,SRX6049814,Germany,Europe,Germany:Brandenburg,Apodemus flavicollis,Illumina MiSeq,53.042812 N 13.17139 E,ZZ-0042-IL_S245,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,ZZ_0042_IL,SRP201188,,,,
SRR9279874,AMPLICON,501,21147278,PRJNA548431,SAMN12027050,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",15159774,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Ileum,Tissue,SRX6049813,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.9581 N 13.895 E,AA-0111-IL_S244,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0111_IL,SRP201188,,,425,1.93
SRR9279875,AMPLICON,501,3815092,PRJNA548431,SAMN12027081,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",2859331,HUMBOLDT UNIVERSITY BERLIN,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049812,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,48.83361111 N 12.145 E,SK-3019-CE_S243,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,SK_3019_CE,SRP201188,,,1210,
SRR9279876,AMPLICON,501,13310474,PRJNA548431,SAMN12027061,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",9696186,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049811,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,51.9661 N 14.0189 E,AA-0343_S242,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0343,SRP201188,,,320,
